gornje baredine - baredine di sopra|7a|baredine - baredine
obala maršala tita|25|rabac
marčana|96|marčana
marčana|95|marčana
lončari|49a|brgod
nedešćina|122a|nedešćina
krnica|112|krnica
krnica|112a|krnica
krnica|113|krnica
krnica|114|krnica
krnica|121|krnica
krnica|115|krnica
krnica|120|krnica
krnica|119|krnica
pavićini|151s|šegotići
veljaki|21|veljaki
veljaki|21/1|veljaki
žnjidari|54a|županići
radeki-polje|66d|loborika
koromačno|20|koromačno
koromačno|21|koromačno
koromačno|22|koromačno
koromačno|23|koromačno
koromačno|19|koromačno
koromačno|18|koromačno
pavićini|617a|pavićini
pavićini|480m|pavićini
prodol|19|prodol
prodol|18|prodol
prodol|17|prodol
dalmatinska|45|rakalj
radeki-polje|160|loborika
nedešćina|211a|nedešćina
vickići|19|veljaki
brovinje|25|brovinje
mate balote|42a|rakalj
krnica|138|krnica
krnica|3b|krnica
tomažići|65|santalezi
tomažići|64a|santalezi
kavran|382a|kavran
kavran|382|kavran
kavran|381b|kavran
kavran|381g|kavran
kavran|381e|kavran
kavran|381f|kavran
kavran|381|kavran
kavran|381a|kavran
kavran|381j|kavran
kavran|380a|kavran
pavićini|229|pavićini
pavićini|230|pavićini
pavićini|223a|pavićini
pavićini|151t|šegotići
jurazini|40|jurazini
kavran|734b|kavran
diminići|38|sveti lovreč labinski
peruški|48|peruški
nedešćina|55|nedešćina
peruški|643e|peruški
dalmatinska|69c|rakalj
viškovići|121|viškovići
peruški|643f|peruški
peruški|643g|peruški
macarini|46|brgod
ravnići|30b|vrećari
radeki-polje|29c|loborika
deželići|6b|polje čepić
kloštar|2a|polje čepić
deželići|8d|polje čepić
deželići|12c|polje čepić
purići|16a|polje čepić
deželići|12b|polje čepić
deželići|12a|polje čepić
deželići|6c|polje čepić
deželići|6|polje čepić
pušinci|28a|polje čepić
pušinci|29|polje čepić
žulići|36|polje čepić
deželići|11|polje čepić
deželići|11a|polje čepić
deželići|8b|polje čepić
zatka čepić|15|zatka čepić
krančići|23|polje čepić
zatka čepić|10|zatka čepić
deželići|3/1|polje čepić
kloštar|2|polje čepić
zatka čepić|5|zatka čepić
honovići|18|polje čepić
žulići|34a|polje čepić
krančići|21|polje čepić
kenulići|49|polje čepić
zatka čepić|11|zatka čepić
zatka čepić|13|zatka čepić
zatka čepić|9|zatka čepić
zatka čepić|2|zatka čepić
zatka čepić|19|zatka čepić
kenulići|48|polje čepić
zatka čepić|8|zatka čepić
deželići|6a|polje čepić
zatka čepić|20|zatka čepić
deželići|13|polje čepić
honovići|17|polje čepić
bernići|42a|polje čepić
bernići|37|polje čepić
deželići|5|polje čepić
kenulići|44|polje čepić
honovići|19|polje čepić
zatka čepić|17|zatka čepić
deželići|12|polje čepić
zatka čepić|1|zatka čepić
kenulići|47|polje čepić
pušinci|28|polje čepić
zatka čepić|25|zatka čepić
bernići|38|polje čepić
zatka čepić|23|zatka čepić
žulići|31|polje čepić
bobinci|27a|polje čepić
bobinci|27|polje čepić
bernići|42|polje čepić
deželići|8|polje čepić
kenulići|45|polje čepić
zatka čepić|7|zatka čepić
zatka čepić|14|zatka čepić
krančići|24|polje čepić
purići|15|polje čepić
deželići|10|polje čepić
honovići|20|polje čepić
žulići|33|polje čepić
žulići|35|polje čepić
žulići|34|polje čepić
krančići|22|polje čepić
zatka čepić|12|zatka čepić
bobinci|26|polje čepić
zatka čepić|24|zatka čepić
deželići|5/1|polje čepić
kenulići|46|polje čepić
kenulići|43|polje čepić
purići|16|polje čepić
deželići|9|polje čepić
krančići|25|polje čepić
deželići|8c|polje čepić
žulići|30|polje čepić
deželići|3|polje čepić
zatka čepić|18|zatka čepić
deželići|14a|polje čepić
deželići|4|polje čepić
deželići|4/1|polje čepić
žulići|28b|polje čepić
deželići|11b|polje čepić
zatka čepić|3|zatka čepić
zatka čepić|16|zatka čepić
žulići|32|polje čepić
zatka čepić|16a|zatka čepić
kloštar|1|polje čepić
zatka čepić|22|zatka čepić
zatka čepić|21|zatka čepić
zatka čepić|22a|zatka čepić
kavran|41|kavran
kavran|40|kavran
kavran|39|kavran
lazarići|26|lazarići
čambarelići|15b|čambarelići
dalmatinska|28d|rakalj
peruški|849d|peruški
radeki-polje|71c|loborika
radeki-polje|71|loborika
radeki-polje|74|loborika
radeki-polje|73|loborika
pavićini|749|pavićini
pavićini|939b|šegotići
stare staze|10|kršan
peruški|57|peruški
peruški|58|peruški
peruški|59|peruški
peruški|60|peruški
peruški|63|peruški
peruški|64|peruški
peruški|59a|peruški
peruški|65|peruški
peruški|46|peruški
peruški|45|peruški
peruški|44|peruški
stanišovi|5a|stanišovi
vlašići|60|boljevići
peruški|151a|peruški
krnički porat|143|rakalj
dalmatinska|110a|rakalj
lanišće|20a|lanišće
creska|32a|rabac
radeki-polje|85d|loborika
radeki-polje|85e|loborika
radeki-polje|29d|loborika
matelići|28|divšići
matelići|27|divšići
kavran|145|kavran
radeki-polje|91|loborika
radeki-polje|92|loborika
vlaška|13|brgod
pavićini|590g|šegotići
čambarelići|15|čambarelići
peruški|841b|peruški
kavran|84|kavran
peruški|190a|peruški
blaškovići|58g|blaškovići
ružići|28a|ružići
pavićini|95|pavićini
pavićini|96|pavićini
pavićini|96a|pavićini
pavićini|96b|pavićini
marčana|550|marčana
pavićini|681c|šegotići
ružići|28c|ružići
marčana|403|marčana
marčana|403a|marčana
loborika|4|loborika
loborika|5|loborika
pavićini|151u|šegotići
marčana|640i|marčana
kavran|905d|kavran
kavran|905c|kavran
kavran|905|kavran
kavran|905a|kavran
kavran|903b|kavran
kavran|903|kavran
kavran|903g|kavran
kavran|903e|kavran
šoteti|45a|nedešćina
dalmatinska|77c|rakalj
šegotići|2a|mali vareški
šegotići|2f|mali vareški
kavran|271d|kavran
zatka čepić|6|zatka čepić
marčana|335|marčana
marčana|336|marčana
marčana|334|marčana
marčana|333|marčana
marčana|332|marčana
marčana|331|marčana
tomažići|64|santalezi
vareški veliki|21|veliki vareški
dalmatinska|87|rakalj
dalmatinska|83|rakalj
kavran|257|kavran
bršica luka|4|trget
bršica luka|4a|trget
pavićini|179b|šegotići
jurazini|10|jurazini
marčana|73|marčana
marčana|74|marčana
marčana|75|marčana
marčana|76|marčana
marčana|73a|marčana
marčana|35|marčana
kavran|263|kavran
filipana|55|filipana
filipana|56|filipana
marčana|133|marčana
marčana|134|marčana
nedešćina|139e|nedešćina
pavićini|96c|pavićini
kavran|118a|kavran
obala maršala tita|61|rabac
lukići|49b|santalezi
peruški|201m|peruški
pavićini|280g|pavićini
peruški|626|peruški
peruški|625|peruški
peruški|632|peruški
peruški|633|peruški
peruški|629|peruški
peruški|630|peruški
peruški|631|peruški
cetinići|34a|divšići
loborika|32|loborika
kožljanići|43|boljevići
marčana|409|marčana
marčana|408|marčana
marčana|407|marčana
marčana|406|marčana
pavićini|167a|pavićini
pavićini|167|pavićini
pavićini|167b|pavićini
pavićini|675|pavićini
pavićini|673|pavićini
pavićini|674|pavićini
cetinići|42a|divšići
išići|97b|peruški
macarini|45a|brgod
deželići|8a|polje čepić
viškovići|52|viškovići
viškovići|53|viškovići
krnica|134|krnica
krnica|134a|krnica
krnica|134b|krnica
krnica|134c|krnica
radeki-polje|63d|loborika
brovinje|34|brovinje
vlašići|54|boljevići
peruški|88|peruški
kavran|1311|kavran
peruški|520b|peruški
županeti|58|trgetari
škabići|40|krnica
škabići|42|krnica
cere|2a|cere
cere|2e|cere
reburići|56i|brgod
prodol|46|prodol
lanišće|4|lanišće
mali vareški|60|mali vareški
peruški|201n|peruški
blaškovići|2c|blaškovići
mali vareški|40|mali vareški
mali vareški|42|mali vareški
krnica|71|krnica
loborika|51|loborika
radeki-glavica|86a|loborika
nedešćina|3|nedešćina
kavran|126d|kavran
kavran|364a|kavran
loborika|170b|loborika
radeki-glavica|77|loborika
radeki-glavica|79a|loborika
radeki-glavica|79b|loborika
marčana|551|marčana
marčana|553|marčana
kavran|37|kavran
kavran|36|kavran
kavran|34|kavran
stancija peličeti|163|loborika
kavran|4|kavran
kavran|8a|kavran
kavran|44|kavran
kavran|8|kavran
kavran|122b|kavran
kavran|122a|kavran
kavran|122d|kavran
percan mije|60a|rakalj
percan mije|60c|rakalj
marčana|192|marčana
dalmatinska|114c|rakalj
pavićini|706a|šegotići
peruški|841c|peruški
peruški|820d|peruški
loborika|1e|loborika
radeki-polje|74a|loborika
dalmatinska|100c|rakalj
dalmatinska|100e|rakalj
matelići|62|divšići
matelići|71|divšići
matelići|69|divšići
matelići|67|divšići
matelići|73|divšići
nedešćina|206|nedešćina
mikulezići|30a|brgod
loborika|10|loborika
pavićini|151v|šegotići
tomažići|61g|santalezi
martinski|27/1|sveti martin
nedešćina|96/8|nedešćina
rudarska|10|rabac
nedešćina|96/7|nedešćina
loborika|170a|loborika
pavićini|35|pavićini
mate balote|121b|rakalj
buruli|10a|veljaki
peruški|62|peruški
kavran|76b|kavran
nedešćina|139g|nedešćina
nedešćina|139h|nedešćina
nedešćina|139f|nedešćina
mate balote|131|rakalj
loborika|13|loborika
tomažići|68d|santalezi
veljaki|35|veljaki
klapčići|31|nedešćina
brovinje|103|brovinje
martinski|18|sveti martin
marčana|135|marčana
marčana|136|marčana
krnica|97a|krnica
obala maršala tita|53b|rabac
obala maršala tita|53c|rabac
peruški|556c|peruški
šegotići|72|šegotići
šegotići|71|šegotići
marčana|212|marčana
kavran|153|kavran
radeki-polje|29i|loborika
krvavići|61|šarići
krnica|85c|krnica
mikulezići|28a|brgod
peruški|191a|peruški
radeki-polje|122|loborika
peruški|644/1|peruški
peruški|190f|peruški
pavićini|245b|šegotići
pavićini|245c|šegotići
dalmatinska|51a|rakalj
reburići|56h|brgod
martinski|33|sveti martin
martinski|34|sveti martin
pavićini|681d|šegotići
loborika|120|loborika
ivanušići|7a|trgetari
gornji rabac|7c|rabac
brovinje|29b|brovinje
koromačno|26|koromačno
koromačno|25|koromačno
nedešćina|40|nedešćina
pavićini|541b|pavićini
španjoli|50|stanišovi
španjoli|48|stanišovi
španjoli|51|stanišovi
španjoli|48a|stanišovi
macarini|90|brgod
matijuci|34a|županići
matijuci|36a|županići
kraj draga|4|kraj drage
kraj draga|1|kraj drage
loborika|9a|loborika
loborika|9|loborika
loborika|7b|loborika
peruški|237|peruški
vareški veliki|20d|veliki vareški
marčana|479a|marčana
marčana|479c|marčana
loborika|190a|loborika
dalmatinska|65d|rakalj
kavran|126e|kavran
išići|117|peruški
kavran|647a|kavran
krnica|56|krnica
lončari|49c|brgod
ulica pino budicin - via pino budicin|14|fažana
vodnjanska cesta - via dignano|58|fažana
vodnjanska cesta - via dignano|91a|fažana
vodnjanska cesta - via dignano|91c|fažana
galižanska cesta - via gallesano|46|fažana
galižanska cesta - via gallesano|216a|fažana
ulica monteci - via monteci|6|galižana
ulica sigari - via sigari|48|galižana
ulica veli vrh - via monte grande|52|galižana
vodnjanska cesta - via dignano|110|fažana
puljska cesta - via pola|27d|fažana
ulica matija vlačić-flacius - via matija vlačić-flacius|8|fažana
puljska cesta - via pola|37|galižana
puljska cesta - via pola|55|galižana
puljska cesta - via pola|57|galižana
ulica giuseppe leonardelli - via giuseppe leonardelli|13|galižana
vodnjanska cesta - via dignano|127|fažana
put sv. elizeja - strada s. eliseo|10a|fažana
puljska cesta - via pola|27c|fažana
galižanska cesta - via gallesano|75|fažana
galižanska cesta - via gallesano|210|fažana
puljska cesta - via pola|27|fažana
ulica monteci - via monteci|13|galižana
ulica san zusto - via san zusto|20|galižana
galižanska cesta - via gallesano|134|fažana
puljska cesta - via pola|25|fažana
galižanska cesta - via gallesano|72b|fažana
galižanska cesta - via gallesano|112|fažana
galižanska cesta - via gallesano|36b|fažana
vodnjanska cesta - via dignano|98|fažana
vodnjanska cesta - via dignano|131|fažana
vodnjanska cesta - via dignano|147|fažana
vodnjanska cesta - via dignano|133a|fažana
ulica monteci - via monteci|14|galižana
ulica monteci - via monteci|35|galižana
ulica matija vlačić-flacius - via matija vlačić-flacius|42|fažana
galižanska cesta - via gallesano|136|fažana
ulica monteci - via monteci|12|galižana
galižanska cesta - via gallesano|212a|fažana
galižanska cesta - via gallesano|72a|fažana
ulica pino budicin - via pino budicin|6|fažana
galižanska cesta - via gallesano|36e|fažana
galižanska cesta - via gallesano|214b|fažana
galižanska cesta - via gallesano|204|fažana
galižanska cesta - via gallesano|244|fažana
ulica monteci - via monteci|21a|galižana
ulica monteci - via monteci|32|galižana
ulica san zoane - via san zoane|2b|galižana
ulica prividal - via prividal|17|galižana
ulica prividal - via prividal|19|galižana
ulica sant' isepo - via sant' isepo|61a|galižana
fažanska ulica - via fasana|30|galižana
ulica sigari - via sigari|1a|galižana
ulica michele della vedova - via michele della vedova|118|galižana
ulica san zoane - via san zoane|11a|galižana
puljska cesta - via pola|2a|galižana
puljska cesta - via pola|2b|galižana
puljska cesta - via pola|12|galižana
puljska cesta - via pola|35a|galižana
puljska cesta - via pola|49a|galižana
puljska cesta - via pola|61|galižana
ulica pino budicin - via pino budicin|7a|fažana
ulica pino budicin - via pino budicin|4|fažana
ulica matija vlačić-flacius - via matija vlačić-flacius|56|fažana
vodnjanska cesta - via dignano|129|fažana
puljska cesta - via pola|27b|fažana
galižanska cesta - via gallesano|116|fažana
galižanska cesta - via gallesano|39a|fažana
galižanska cesta - via gallesano|51|fažana
galižanska cesta - via gallesano|212b|fažana
galižanska cesta - via gallesano|87|fažana
galižanska cesta - via gallesano|89|fažana
galižanska cesta - via gallesano|222|fažana
put sv. elizeja - strada s. eliseo|62|fažana
put sv. elizeja - strada s. eliseo|66|fažana
vodnjanska cesta - via dignano|100|fažana
vodnjanska cesta - via dignano|101|fažana
galižanska cesta - via gallesano|220d|fažana
galižanska cesta - via gallesano|24/1|fažana
ulica monteci - via monteci|10|galižana
galižanska cesta - via gallesano|248|fažana
fažanska ulica - via fasana|32|galižana
galižanska cesta - via gallesano|208|fažana
galižanska cesta - via gallesano|42|fažana
galižanska cesta - via gallesano|216b|fažana
galižanska cesta - via gallesano|41a|fažana
galižanska cesta - via gallesano|41c|fažana
galižanska cesta - via gallesano|41b|fažana
galižanska cesta - via gallesano|41d|fažana
puljska cesta - via pola|35b|galižana
ulica monteci - via monteci|47|galižana
vodnjanska cesta - via dignano|119|fažana
vodnjanska cesta - via dignano|105|fažana
ulica matija vlačić-flacius - via matija vlačić-flacius|26|fažana
puljska cesta - via pola|37a|galižana
galižanska cesta - via gallesano|218|fažana
galižanska cesta - via gallesano|164|fažana
galižanska cesta - via gallesano|206a|fažana
fažanska ulica - via fasana|50|galižana
perojska cesta - via peroi|25|fažana
galižanska cesta - via gallesano|110|fažana
puljska cesta - via pola|63|galižana
ulica matija vlačić-flacius - via matija vlačić-flacius|66a|fažana
put sv. elizeja - strada s. eliseo|54|fažana
galižanska cesta - via gallesano|215|fažana
perojska cesta - via peroi|43|fažana
vodnjanska cesta - via dignano|131b|fažana
galižanska cesta - via gallesano|70b|fažana
puljska cesta - via pola|53b|galižana
fažanska ulica - via fasana|24a|galižana
galižanska cesta - via gallesano|212d|fažana
galižanska cesta - via gallesano|36g|fažana
ulica sant' isepo - via sant' isepo|54|galižana
ulica sigari - via sigari|27a|galižana
fažanska ulica - via fasana|38|galižana
fažanska ulica - via fasana|48a|galižana
galižanska cesta - via gallesano|70c|fažana
puljska cesta - via pola|6a|galižana
galižanska cesta - via gallesano|36d|fažana
vodnjanska cesta - via dignano|103a|fažana
ulica lumel - via lumel|32a|galižana
vodnjanska cesta - via dignano|147c|fažana
vodnjanska cesta - via dignano|58a|fažana
put sv. elizeja - strada s. eliseo|61|fažana
ulica veli vrh - via monte grande|46|galižana
perojska cesta - via peroi|41|fažana
galižanska cesta - via gallesano|55a|fažana
galižanska cesta - via gallesano|87a|fažana
galižanska cesta - via gallesano|87c|fažana
vodnjanska cesta - via dignano|147b|fažana
vodnjanska cesta - via dignano|149|fažana
vodnjanska cesta - via dignano|102|fažana
vodnjanska cesta - via dignano|103|fažana
vodnjanska cesta - via dignano|144|fažana
ulica monteci - via monteci|30|galižana
ulica san zoane - via san zoane|10|galižana
galižanska cesta - via gallesano|29a|fažana
galižanska cesta - via gallesano|36|fažana
ulica matija vlačić-flacius - via matija vlačić-flacius|17a|fažana
galižanska cesta - via gallesano|214c|fažana
puljska cesta - via pola|19|galižana
fažanska ulica - via fasana|38a|galižana
galižanska cesta - via gallesano|201c|fažana
ulica sigari - via sigari|35|galižana
župni trg - largo della parrocchia|6|fažana
galižanska cesta - via gallesano|82|fažana
galižanska cesta - via gallesano|201h|fažana
put sv. elizeja - strada s. eliseo|60|fažana
galižanska cesta - via gallesano|201a|fažana
galižanska cesta - via gallesano|196|fažana
ulica sigari - via sigari|44a|galižana
vodnjanska cesta - via dignano|147d|fažana
ulica sigari - via sigari|2|galižana
ulica monteci - via monteci|18a|galižana
puljska cesta - via pola|2|galižana
ulica monteci - via monteci|17b|galižana
puljska cesta - via pola|47|galižana
ulica san zoane - via san zoane|9|galižana
ulica monteci - via monteci|23a|galižana
ulica prividal - via prividal|21|galižana
put sv. elizeja - strada s. eliseo|38|fažana
ulica sv. silvestar - via san silvestro|4a|galižana
puljska cesta - via pola|35c|galižana
perojska cesta - via peroi|39a|fažana
ulica san zusto - via san zusto|19|galižana
galižanska cesta - via gallesano|213|fažana
put sv. elizeja - strada s. eliseo|42|fažana
puljska cesta - via pola|43|galižana
puljska cesta - via pola|45|galižana
galižanska cesta - via gallesano|70a|fažana
put sv. elizeja - strada s. eliseo|68|fažana
ulica sv. silvestar - via san silvestro|30|galižana
galižanska cesta - via gallesano|205|fažana
galižanska cesta - via gallesano|49|fažana
ulica sigari - via sigari|5c|galižana
ulica san zusto - via san zusto|23|galižana
ulica sigari - via sigari|5a|galižana
put sv. elizeja - strada s. eliseo|64|fažana
ulica san zusto - via san zusto|19a|galižana
ulica pino budicin - via pino budicin|11|fažana
puljska cesta - via pola|65|galižana
fažanska ulica - via fasana|24d|galižana
galižanska cesta - via gallesano|22|fažana
fažanska ulica - via fasana|26a|galižana
istarska ulica - via dell' istria|19|fažana
istarska ulica - via dell' istria|21|fažana
istarska ulica - via dell' istria|15|fažana
istarska ulica - via dell' istria|23|fažana
istarska ulica - via dell' istria|17|fažana
put sv. elizeja - strada s. eliseo|55|fažana
vodnjanska cesta - via dignano|133f|fažana
ulica monteci - via monteci|45|galižana
galižanska cesta - via gallesano|59|fažana
vodnjanska cesta - via dignano|57|fažana
perojska cesta - via peroi|15|fažana
titova riva - riva tito|3|fažana
galižanska cesta - via gallesano|31/1|fažana
galižanska cesta - via gallesano|80|fažana
galižanska cesta - via gallesano|214|fažana
perojska cesta - via peroi|5|fažana
galižanska cesta - via gallesano|31a|fažana
ulica michele della vedova - via michele della vedova|67|galižana
perojska cesta - via peroi|11|fažana
ulica matija vlačić-flacius - via matija vlačić-flacius|44|fažana
galižanska cesta - via gallesano|48|fažana
ulica pino budicin - via pino budicin|13|fažana
perojska cesta - via peroi|1|fažana
galižanska cesta - via gallesano|27/2|fažana
perojska cesta - via peroi|13|fažana
galižanska cesta - via gallesano|39|fažana
put sv. elizeja - strada s. eliseo|16|fažana
ulica matija vlačić-flacius - via matija vlačić-flacius|52|fažana
galižanska cesta - via gallesano|25/1|fažana
vodnjanska cesta - via dignano|56|fažana
ulica antonio smareglia - via antonio smareglia|3|fažana
ulica pino budicin - via pino budicin|7|fažana
perojska cesta - via peroi|9|fažana
galižanska cesta - via gallesano|212|fažana
ulica pino budicin - via pino budicin|9|fažana
galižanska cesta - via gallesano|24|fažana
galižanska cesta - via gallesano|214a|fažana
galižanska cesta - via gallesano|35|fažana
galižanska cesta - via gallesano|55|fažana
ulica matija vlačić-flacius - via matija vlačić-flacius|16|fažana
ulica sv. silvestar - via san silvestro|29|galižana
galižanska cesta - via gallesano|25/2|fažana
ulica antonio smareglia - via antonio smareglia|5|fažana
galižanska cesta - via gallesano|30|fažana
ulica viktor car emin - via viktor car emin|6|fažana
galižanska cesta - via gallesano|98|fažana
galižanska cesta - via gallesano|33|fažana
ulica matija vlačić-flacius - via matija vlačić-flacius|66|fažana
perojska cesta - via peroi|3|fažana
ulica matija vlačić-flacius - via matija vlačić-flacius|15|fažana
ulica matija vlačić-flacius - via matija vlačić-flacius|46|fažana
galižanska cesta - via gallesano|27/1|fažana
ulica matija vlačić-flacius - via matija vlačić-flacius|38|fažana
galižanska cesta - via gallesano|44|fažana
galižanska cesta - via gallesano|76|fažana
vodnjanska cesta - via dignano|63|fažana
vodnjanska cesta - via dignano|54|fažana
ulica matija vlačić-flacius - via matija vlačić-flacius|40|fažana
ulica matija vlačić-flacius - via matija vlačić-flacius|48|fažana
ulica matija vlačić-flacius - via matija vlačić-flacius|12|fažana
ulica viktor car emin - via viktor car emin|4|fažana
ulica vladimir nazor - via vladimir nazor|18|fažana
galižanska cesta - via gallesano|108|fažana
ulica matija vlačić-flacius - via matija vlačić-flacius|39|fažana
perojska cesta - via peroi|7|fažana
galižanska cesta - via gallesano|37|fažana
galižanska cesta - via gallesano|244b|fažana
ulica san zusto - via san zusto|5|galižana
galižanska cesta - via gallesano|244c|fažana
ulica sigari - via sigari|34|galižana
ulica oltra 'l torcio - via oltra 'l torcio|10|galižana
ulica san zoane - via san zoane|24|galižana
ulica monteci - via monteci|22|galižana
puljska cesta - via pola|27a|fažana
puljska cesta - via pola|8|galižana
ulica san zusto - via san zusto|3|galižana
puljska cesta - via pola|27|galižana
ulica sigari - via sigari|44|galižana
ulica giuseppe leonardelli - via giuseppe leonardelli|5|galižana
ulica giuseppe leonardelli - via giuseppe leonardelli|7|galižana
puljska cesta - via pola|35|galižana
galižanska cesta - via gallesano|29/3|fažana
ulica sant' isepo - via sant' isepo|57|galižana
ulica sigari - via sigari|40|galižana
ulica giuseppe leonardelli - via giuseppe leonardelli|9|galižana
ulica monteci - via monteci|26|galižana
ulica sant' isepo - via sant' isepo|59|galižana
fažanska ulica - via fasana|24|galižana
puljska cesta - via pola|4|galižana
ulica sant' isepo - via sant' isepo|39|galižana
puljska cesta - via pola|21|galižana
ulica sant' isepo - via sant' isepo|20|galižana
ulica san zoane - via san zoane|12|galižana
ulica sigari - via sigari|11|galižana
ulica monteci - via monteci|1|galižana
ulica monteci - via monteci|18|galižana
ulica oltra 'l torcio - via oltra 'l torcio|13|galižana
ulica sigari - via sigari|1|galižana
ulica sigari - via sigari|32|galižana
ulica san zoane - via san zoane|16|galižana
ulica monteci - via monteci|21|galižana
ulica san zoane - via san zoane|2a|galižana
ulica san zoane - via san zoane|1|galižana
ulica toro - via toro|32|galižana
puljska cesta - via pola|53|galižana
ulica sv. silvestar - via san silvestro|25|galižana
ulica monteci - via monteci|3|galižana
ulica san zoane - via san zoane|8|galižana
puljska cesta - via pola|49|galižana
ulica sv. silvestar - via san silvestro|6|galižana
ulica monteci - via monteci|5|galižana
ulica monteci - via monteci|33|galižana
ulica matija vlačić-flacius - via matija vlačić-flacius|54|fažana
ulica matija vlačić-flacius - via matija vlačić-flacius|14|fažana
ulica monteci - via monteci|15|galižana
puljska cesta - via pola|25|galižana
ulica sigari - via sigari|13|galižana
puljska cesta - via pola|29|galižana
ulica san zusto - via san zusto|21|galižana
ulica oltra 'l torcio - via oltra 'l torcio|8|galižana
ulica sant' isepo - via sant' isepo|55|galižana
ulica sant' isepo - via sant' isepo|53|galižana
ulica veli vrh - via monte grande|44|galižana
ulica monteci - via monteci|8|galižana
puljska cesta - via pola|6|galižana
ulica sigari - via sigari|46|galižana
ulica sigari - via sigari|21|galižana
ulica monteci - via monteci|39|galižana
puljska cesta - via pola|33|galižana
ulica veli vrh - via monte grande|50|galižana
ulica sigari - via sigari|36|galižana
ulica sant' isepo - via sant' isepo|61|galižana
ulica giuseppe leonardelli - via giuseppe leonardelli|11|galižana
puljska cesta - via pola|23|galižana
ulica giuseppe leonardelli - via giuseppe leonardelli|8|galižana
ulica sv. silvestar - via san silvestro|27|galižana
fažanska ulica - via fasana|26|galižana
ulica sigari - via sigari|23|galižana
puljska cesta - via pola|31|galižana
ulica antonio pianella - via antonio pianella|20|galižana
puljska cesta - via pola|51|galižana
ulica sant' isepo - via sant' isepo|63|galižana
ulica san zoane - via san zoane|14|galižana
ulica san zoane - via san zoane|22|galižana
fažanska ulica - via fasana|28|galižana
ulica giuseppe leonardelli - via giuseppe leonardelli|2|galižana
ulica sant' isepo - via sant' isepo|51|galižana
ulica sv. silvestar - via san silvestro|2|galižana
ulica monteci - via monteci|11|galižana
ulica toro - via toro|34|galižana
ulica oltra 'l torcio - via oltra 'l torcio|11|galižana
vodnjanska cesta - via dignano|133g|fažana
ulica monteci - via monteci|16|galižana
galižanska cesta - via gallesano|22a|fažana
vodnjanska cesta - via dignano|111|fažana
puljska cesta - via pola|35e|galižana
galižanska cesta - via gallesano|36c|fažana
galižanska cesta - via gallesano|47|fažana
ulica 43. istarske divizije - via 43. divisione istriana|5|fažana
ulica michele della vedova - via michele della vedova|45|galižana
ulica zorzi ventura - via zorzi ventura|14|fažana
ulica michele della vedova - via michele della vedova|13|galižana
ulica jurina i franina - via jurina i franina|8|fažana
puljska cesta - via pola|39|galižana
trg sv. kuzme i damjana - piazza s. cosimo e damiano|8|fažana
ulica sant' isepo - via sant' isepo|31|galižana
ulica don valentina cukarića - via don valentin cukarić|7|fažana
ulica don valentina cukarića - via don valentin cukarić|5|fažana
ulica oltra 'l torcio - via oltra 'l torcio|2|galižana
ulica sigari - via sigari|3a|galižana
ulica sigari - via sigari|28|galižana
ulica giovanni petris - via giovanni petris|19|galižana
puljska cesta - via pola|41|galižana
ulica oltra 'l torcio - via oltra 'l torcio|9a|galižana
ulica toro - via toro|45|galižana
piazza grande|1|fažana
ulica sant' isepo - via sant' isepo|35|galižana
ulica toro - via toro|33a|galižana
ulica monteci - via monteci|37a|galižana
ulica lumel - via lumel|46a|galižana
župni trg - largo della parrocchia|1|fažana
ulica don valentina cukarića - via don valentin cukarić|4|fažana
ulica san zusto - via san zusto|7|galižana
ulica toro - via toro|40|galižana
ulica sant' isepo - via sant' isepo|32|galižana
ulica toro - via toro|9|galižana
ulica toro - via toro|5|galižana
ulica toro - via toro|18|galižana
ulica lumel - via lumel|29|galižana
ulica michele della vedova - via michele della vedova|102|galižana
ulica monteci - via monteci|9|galižana
ulica michele della vedova - via michele della vedova|38|galižana
ulica lumel - via lumel|27|galižana
ulica san zusto - via san zusto|9|galižana
ulica giovanni petris - via giovanni petris|27|galižana
fažanska ulica - via fasana|10|galižana
ulica toro - via toro|28|galižana
ulica sant' isepo - via sant' isepo|30|galižana
ulica sant' isepo - via sant' isepo|12|galižana
ulica michele della vedova - via michele della vedova|116|galižana
ulica michele della vedova - via michele della vedova|98|galižana
ulica zorzi ventura - via zorzi ventura|9|fažana
ulica michele della vedova - via michele della vedova|44|galižana
ulica michele della vedova - via michele della vedova|52|galižana
fažanska ulica - via fasana|12|galižana
ulica michele della vedova - via michele della vedova|80|galižana
ulica sv. silvestar - via san silvestro|3|galižana
ulica michele della vedova - via michele della vedova|96|galižana
ulica michele della vedova - via michele della vedova|108|galižana
ulica antonio pianella - via antonio pianella|11|galižana
ulica lumel - via lumel|15|galižana
ulica sant' isepo - via sant' isepo|14|galižana
ulica lumel - via lumel|46|galižana
ulica toro - via toro|15|galižana
ulica lumel - via lumel|7|galižana
ulica giovanni petris - via giovanni petris|18|galižana
ulica sant' isepo - via sant' isepo|19|galižana
ulica sv. silvestar - via san silvestro|9|galižana
ulica sigari - via sigari|30|galižana
ulica san zoane - via san zoane|11|galižana
ulica oltra 'l torcio - via oltra 'l torcio|1|galižana
ulica lumel - via lumel|34|galižana
ulica antonio pianella - via antonio pianella|16|galižana
ulica toro - via toro|13|galižana
ulica michele della vedova - via michele della vedova|64|galižana
